schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,collectedAt
1.0,RESEARCH_PAPER,Application of artificial intelligence techniques in irrigation and crop health management for crop yield enhancement,T. M. Navinkumar; R. Ranjith Kumar; P. V. Gokila,https://www.semanticscholar.org/paper/000011f43bed0f6830c9cbcc76a7863bf57421ea,,,2020-11-27T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.341407Z
1.0,RESEARCH_PAPER,Educational Innovation in Engineering: Integrating Virtual Reality and Artificial Intelligence in First-Year Student Training,Jorge Alvarez; Fernando de Lima Caneppele; Roberto Gómez Tobias; Cristian Segura-Dominguez; Miriam Navarrete-Bear; Jorge Hidalgo,https://www.semanticscholar.org/paper/000031e564c267a1c7816fb1938ef152b8872f03,,,2025-03-23T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.341793Z
1.0,RESEARCH_PAPER,From Pixels to States: Rethinking Interactive World Models as Game Engines,Zhen Li; Zian Meng; Shuwei Shi; Mingliang Zhai; Jia-Ming Tan; Chuanhao Li; Kaipeng Zhang,https://www.semanticscholar.org/paper/0000394359444bb2dac72249d8609fa0bc0df2d7,,,2026-07-15T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.341842Z
1.0,RESEARCH_PAPER,"Systematic co-optimization from chip design, process technology to systems for GPU AI chip",John R. Hu; James Chen; B. Liew; Yanfeng Wang; Lianxi Shen; Lin Cong,https://www.semanticscholar.org/paper/00003fb6543527decf90df0ff3719396a8ee2330,,,2018-04-16T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.341879Z
1.0,RESEARCH_PAPER,AI in Multidisciplinary Engineering: A Holistic Review of Technologies and Trends,G. Gayatri Tanuja; T. V. Chethana,https://www.semanticscholar.org/paper/000099a8f4c7604b553963915427b46ad4b6e491,,,2025-12-26T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.342251Z
1.0,RESEARCH_PAPER,NOAAGlobalTemp version 6: An AI-based global surface temperature dataset,Xun-Gang Yin; Boyin Huang; M. Menne; R. Vose; Huai-min Zhang; Adedoja Adeyeye; Scott Applequist; K. Gleason; Chunying Liu; A. Sánchez-Lugo,https://www.semanticscholar.org/paper/00009a3cb2b41c98fe82cdde5faf14955afe526d,,,2024-09-30T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.342322Z
1.0,RESEARCH_PAPER,Artificial intelligence iterative reconstruction in abdominal CT of patients with irregular arm positioning: a case-by-case evaluation,Jin Li; Ting Meng; Guozhi Zhang; Xiang Yu; Zhi-Hua Lu; Wei-Guo Zhang,https://www.semanticscholar.org/paper/00009ef0cab5bcfb9b33c9637a59ed04dffaef13,,,2024-06-14T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.342347Z
1.0,RESEARCH_PAPER,AI Risk Mitigation Proposal for Enterprise Technology Consulting: A Comprehensive Risk Management Framework for Innovate Software Consulting Inc Ltd,Shivanand R. Koppalkar,https://www.semanticscholar.org/paper/0000c9fc1d9f3c817c7d988a39c6a48e3de62ded,,,2026-05-06T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.342366Z
1.0,RESEARCH_PAPER,"Rise of Computer-Related Crimes: Loss of Data, Infrastructures, and Monetary Assets",Rohitha Goonatilake; A. E. Ortiz,https://www.semanticscholar.org/paper/0000d3c057f87b36e8a3e06c89b92f3ef77a3ba6,,,2026-02-09T00:00:00Z,semanticscholar.org,2026-09-15T07:29:27.342381Z
1.0,RESEARCH_PAPER,"Role of artificial intelligence in different stages from advanced petrophysical reservoir characterization process: Case study of Iranian carbonate reservoirs. 9th Middle East Geosciences Conference, GEO 2010.",M. Shahvar,https://www.semanticscholar.org/paper/0000ed1c7a184c09bfe5dec40f711bcfba1ca534,,,,semanticscholar.org,2026-09-15T07:29:27.342394Z
